scale,macro_f1,weighted_f1,mae,quadratic_weighted_kappa,high_risk_recall,false_negative_rate,auroc,pr_auc,brier_score,ece,policy,budget,variant,split,n,avg_items_used
PHQ-9,0.6291859350829356,0.8749340633728848,0.13336992316136115,0.8638526763410475,0.8512820512820513,0.14871794871794874,0.9370229412456228,0.5372550303778711,0.2512813082214966,0.08377492731503856,response_only_uncertainty,11,responses,test,3644,11
GAD-7,0.7082975682691053,0.9437814865177722,0.05982436882546652,0.9000235852462252,0.9761904761904762,0.023809523809523836,0.9773716232777939,0.601862601882904,0.1026751985422957,0.01564528712739357,response_only_uncertainty,11,responses,test,3644,11
PSS,0.4421525549548637,0.5855723971378076,0.5782107574094402,0.5033902990204966,0.9009433962264151,0.09905660377358494,0.8019292450312387,0.45923923153886137,0.7552413985336208,0.27666885171611805,response_only_uncertainty,11,responses,test,3644,11
ISI,0.749086756517174,0.9485754673776379,0.04747530186608123,0.7971067427884921,0.7948717948717948,0.20512820512820518,0.9548159980563079,0.7391742871440266,0.08265647381520246,0.02742065887137221,response_only_uncertainty,11,responses,test,3644,11
PHQ-9,0.6291859350829356,0.8749340633728848,0.13336992316136115,0.8638526763410475,0.8512820512820513,0.14871794871794874,0.9350241349626541,0.540288332770491,0.2545683311252709,0.0845648756751618,response_only_uncertainty,11,responses_rt_calibration_only,test,3644,11
GAD-7,0.7082975682691053,0.9437814865177722,0.05982436882546652,0.9000235852462252,0.9761904761904762,0.023809523809523836,0.9760112790007429,0.6426988970334164,0.1040948095836472,0.01591074271730171,response_only_uncertainty,11,responses_rt_calibration_only,test,3644,11
PSS,0.4421525549548637,0.5855723971378076,0.5782107574094402,0.5033902990204966,0.9009433962264151,0.09905660377358494,0.8136183405824826,0.4900713189098557,0.715939844486941,0.23074931138990534,response_only_uncertainty,11,responses_rt_calibration_only,test,3644,11
ISI,0.749086756517174,0.9485754673776379,0.04747530186608123,0.7971067427884921,0.7948717948717948,0.20512820512820518,0.949268075706423,0.7364405464284991,0.08492749487101313,0.02143424622957423,response_only_uncertainty,11,responses_rt_calibration_only,test,3644,11
PHQ-9,0.6352030039781262,0.8754341697103836,0.13254665203073546,0.862807191269441,0.8461538461538461,0.15384615384615385,0.9444226157019889,0.5667804466238413,0.23884941461488973,0.05799145824304956,rt_aware_uncertainty,11,responses_rt_state,test,3644,11
GAD-7,0.6696460658269704,0.9416284285890274,0.062019758507135016,0.8946238540743587,0.9523809523809523,0.04761904761904767,0.9828483613989725,0.646709937172069,0.10051734821717533,0.016491260680731007,rt_aware_uncertainty,11,responses_rt_state,test,3644,11
PSS,0.44108239061856447,0.5855020959276593,0.573271130625686,0.5058361933394416,0.8938679245283019,0.10613207547169812,0.8161847133542373,0.4984426999498133,0.7243615238912728,0.2786476595736478,rt_aware_uncertainty,11,responses_rt_state,test,3644,11
ISI,0.7497839914307517,0.9489289515873586,0.04720087815587267,0.7984499179566533,0.7948717948717948,0.20512820512820518,0.9542305285857676,0.746174178674602,0.08079618810461074,0.021563277114834446,rt_aware_uncertainty,11,responses_rt_state,test,3644,11
PHQ-9,0.712528657080896,0.8988888085216953,0.10784851811196487,0.893215790759345,0.9692307692307692,0.03076923076923077,0.9692807235156312,0.6840033496027644,0.20206013139450968,0.08201092832504703,response_only_uncertainty,19,responses,test,3644,19
GAD-7,0.8374801823933797,0.9596125315759944,0.03896816684961581,0.9291603417949712,0.9761904761904762,0.023809523809523836,0.9968221352811127,0.8083077367060902,0.042893019739538775,0.01264699776147175,response_only_uncertainty,19,responses,test,3644,19
PSS,0.4622546557637209,0.6256216822093602,0.5532381997804611,0.5164450415644706,0.9316037735849056,0.06839622641509435,0.8063087642575673,0.481077560691461,0.7074247473915152,0.25804690136626246,response_only_uncertainty,19,responses,test,3644,19
ISI,0.7419592999829985,0.9556473718548034,0.04720087815587267,0.8367498326522214,0.8974358974358975,0.10256410256410253,0.9849238940016904,0.7225509569606141,0.08864546888773309,0.03879281820918508,response_only_uncertainty,19,responses,test,3644,19
PHQ-9,0.712528657080896,0.8988888085216953,0.10784851811196487,0.893215790759345,0.9692307692307692,0.03076923076923077,0.9676131624416504,0.6921627124897863,0.203616311224803,0.08772654365095624,response_only_uncertainty,19,responses_rt_calibration_only,test,3644,19
GAD-7,0.8374801823933797,0.9596125315759944,0.03896816684961581,0.9291603417949712,0.9761904761904762,0.023809523809523836,0.996900518861761,0.8302047222195863,0.04217450939289284,0.011566543585671316,response_only_uncertainty,19,responses_rt_calibration_only,test,3644,19
PSS,0.4622546557637209,0.6256216822093602,0.5532381997804611,0.5164450415644706,0.9316037735849056,0.06839622641509435,0.8190786739322574,0.4984490855655231,0.6672479866965721,0.19804449294035448,response_only_uncertainty,19,responses_rt_calibration_only,test,3644,19
ISI,0.7419592999829985,0.9556473718548034,0.04720087815587267,0.8367498326522214,0.8974358974358975,0.10256410256410253,0.9840430821052594,0.7114610990014348,0.08892143727332,0.03371595026275019,response_only_uncertainty,19,responses_rt_calibration_only,test,3644,19
PHQ-9,0.7129075557249889,0.9017917587849018,0.10428100987925357,0.895437763374553,0.9538461538461539,0.0461538461538461,0.9730880893524617,0.7186874428145438,0.18761291742412067,0.03787994444248791,rt_aware_uncertainty,19,responses_rt_state,test,3644,19
GAD-7,0.8036398018283037,0.9608296348194875,0.03787047200878156,0.929238496851367,0.9642857142857143,0.0357142857142857,0.9973807792883995,0.849368762628869,0.04280774766991474,0.014334599897839341,rt_aware_uncertainty,19,responses_rt_state,test,3644,19
PSS,0.4659777040884812,0.6287565115070961,0.5428100987925357,0.5218651429753348,0.9339622641509434,0.06603773584905659,0.8192821276546658,0.4964633437179425,0.6753379401687452,0.2410901891212205,rt_aware_uncertainty,19,responses_rt_state,test,3644,19
ISI,0.7229986117705403,0.9552371639964242,0.04747530186608123,0.8336685930910457,0.8974358974358975,0.10256410256410253,0.9853705780065505,0.7593038165406707,0.0821127044647206,0.023959292387294905,rt_aware_uncertainty,19,responses_rt_state,test,3644,19
PHQ-9,0.8685573964649096,0.9775236901150228,0.02332601536772777,0.9748496696532447,1.0,0.0,0.9916206769625371,0.858948594550386,0.07738995126472198,0.046916370045711434,response_only_uncertainty,26,responses,test,3644,26
GAD-7,0.9747148604129287,0.9972412414036713,0.0027442371020856204,0.9950041184490064,1.0,0.0,0.9995584944016972,0.9646326381467762,0.006756971487703374,0.005215684843247649,response_only_uncertainty,26,responses,test,3644,26
PSS,0.4975272702605939,0.6736394082439644,0.4816136114160263,0.5521243675689842,0.9386792452830188,0.061320754716981174,0.837996983108378,0.5111338615153125,0.6188736916001902,0.18116389347069806,response_only_uncertainty,26,responses,test,3644,26
ISI,0.8949625263993193,0.9813967896076884,0.018386388583973654,0.9252835362308196,0.8461538461538461,0.15384615384615385,0.9936542873164067,0.902489262779137,0.03457146493659366,0.011152086184399841,response_only_uncertainty,26,responses,test,3644,26
PHQ-9,0.8685573964649096,0.9775236901150228,0.02332601536772777,0.9748496696532447,1.0,0.0,0.9916388205323589,0.8577362148926806,0.08280425059923639,0.05358410051042485,response_only_uncertainty,26,responses_rt_calibration_only,test,3644,26
GAD-7,0.9747148604129287,0.9972412414036713,0.0027442371020856204,0.9950041184490064,1.0,0.0,0.9996147340832312,0.9776298913114981,0.008706164447078094,0.010903458333102587,response_only_uncertainty,26,responses_rt_calibration_only,test,3644,26
PSS,0.4975272702605939,0.6736394082439644,0.4816136114160263,0.5521243675689842,0.9386792452830188,0.061320754716981174,0.848138766800258,0.540197752450686,0.5841251000878976,0.11493221444685317,response_only_uncertainty,26,responses_rt_calibration_only,test,3644,26
ISI,0.8949625263993193,0.9813967896076884,0.018386388583973654,0.9252835362308196,0.8461538461538461,0.15384615384615385,0.9934530640798118,0.913281183770277,0.035060642594846425,0.01348864484933085,response_only_uncertainty,26,responses_rt_calibration_only,test,3644,26
PHQ-9,0.8738870279962496,0.980991887157231,0.019209659714599342,0.9787475873579305,0.9538461538461539,0.0461538461538461,0.9935078028001314,0.8698922534637207,0.07267884143892361,0.00869085396999877,rt_aware_uncertainty,26,responses_rt_state,test,3644,26
GAD-7,0.8097647572379506,0.9611289353717793,0.03704720087815587,0.9271584603329442,0.8452380952380952,0.15476190476190477,0.9996418716423185,0.9776710576907617,0.007906428236130568,0.005487400667139816,rt_aware_uncertainty,26,responses_rt_state,test,3644,26
PSS,0.5007871369391367,0.6747677335357418,0.45911086717892424,0.5692179147391481,0.9386792452830188,0.061320754716981174,0.8503641311527943,0.5418034899530775,0.582558032264514,0.16217793715254503,rt_aware_uncertainty,26,responses_rt_state,test,3644,26
ISI,0.8756497889199548,0.9754056821043391,0.023600439077936335,0.8974852844290712,0.7435897435897436,0.2564102564102564,0.994097287225074,0.9274928354098713,0.03008478879905942,0.009876915147380753,rt_aware_uncertainty,26,responses_rt_state,test,3644,26
