variant,scale,true_label,pred_label,count
response_only,PHQ-9,minimal,minimal,2296
response_only,PHQ-9,minimal,mild,211
response_only,PHQ-9,minimal,moderate,0
response_only,PHQ-9,minimal,moderately_severe,0
response_only,PHQ-9,minimal,severe,0
response_only,PHQ-9,mild,minimal,21
response_only,PHQ-9,mild,mild,817
response_only,PHQ-9,mild,moderate,104
response_only,PHQ-9,mild,moderately_severe,0
response_only,PHQ-9,mild,severe,0
response_only,PHQ-9,moderate,minimal,0
response_only,PHQ-9,moderate,mild,6
response_only,PHQ-9,moderate,moderate,94
response_only,PHQ-9,moderate,moderately_severe,36
response_only,PHQ-9,moderate,severe,0
response_only,PHQ-9,moderately_severe,minimal,0
response_only,PHQ-9,moderately_severe,mild,0
response_only,PHQ-9,moderately_severe,moderate,1
response_only,PHQ-9,moderately_severe,moderately_severe,27
response_only,PHQ-9,moderately_severe,severe,13
response_only,PHQ-9,severe,minimal,0
response_only,PHQ-9,severe,mild,0
response_only,PHQ-9,severe,moderate,0
response_only,PHQ-9,severe,moderately_severe,1
response_only,PHQ-9,severe,severe,17
response_only,GAD-7,minimal,minimal,3004
response_only,GAD-7,minimal,mild,8
response_only,GAD-7,minimal,moderate,0
response_only,GAD-7,minimal,severe,0
response_only,GAD-7,minimal,very_severe,0
response_only,GAD-7,mild,minimal,108
response_only,GAD-7,mild,mild,430
response_only,GAD-7,mild,moderate,10
response_only,GAD-7,mild,severe,0
response_only,GAD-7,mild,very_severe,0
response_only,GAD-7,moderate,minimal,0
response_only,GAD-7,moderate,mild,2
response_only,GAD-7,moderate,moderate,35
response_only,GAD-7,moderate,severe,6
response_only,GAD-7,moderate,very_severe,0
response_only,GAD-7,severe,minimal,0
response_only,GAD-7,severe,mild,0
response_only,GAD-7,severe,moderate,3
response_only,GAD-7,severe,severe,23
response_only,GAD-7,severe,very_severe,4
response_only,GAD-7,very_severe,minimal,0
response_only,GAD-7,very_severe,mild,0
response_only,GAD-7,very_severe,moderate,0
response_only,GAD-7,very_severe,severe,1
response_only,GAD-7,very_severe,very_severe,10
response_only,PSS,low,low,805
response_only,PSS,low,moderate,146
response_only,PSS,low,high,0
response_only,PSS,low,very_high,0
response_only,PSS,moderate,low,200
response_only,PSS,moderate,moderate,1034
response_only,PSS,moderate,high,582
response_only,PSS,moderate,very_high,453
response_only,PSS,high,low,0
response_only,PSS,high,moderate,29
response_only,PSS,high,high,221
response_only,PSS,high,very_high,149
response_only,PSS,very_high,low,0
response_only,PSS,very_high,moderate,0
response_only,PSS,very_high,high,4
response_only,PSS,very_high,very_high,21
response_only,ISI,no_clinically_significant,no_clinically_significant,3201
response_only,ISI,no_clinically_significant,subthreshold,99
response_only,ISI,no_clinically_significant,clinical_moderate,0
response_only,ISI,no_clinically_significant,clinical_severe,0
response_only,ISI,subthreshold,no_clinically_significant,32
response_only,ISI,subthreshold,subthreshold,241
response_only,ISI,subthreshold,clinical_moderate,32
response_only,ISI,subthreshold,clinical_severe,0
response_only,ISI,clinical_moderate,no_clinically_significant,0
response_only,ISI,clinical_moderate,subthreshold,4
response_only,ISI,clinical_moderate,clinical_moderate,24
response_only,ISI,clinical_moderate,clinical_severe,5
response_only,ISI,clinical_severe,no_clinically_significant,0
response_only,ISI,clinical_severe,subthreshold,0
response_only,ISI,clinical_severe,clinical_moderate,0
response_only,ISI,clinical_severe,clinical_severe,6
rt_calibration_only,PHQ-9,minimal,minimal,2296
rt_calibration_only,PHQ-9,minimal,mild,211
rt_calibration_only,PHQ-9,minimal,moderate,0
rt_calibration_only,PHQ-9,minimal,moderately_severe,0
rt_calibration_only,PHQ-9,minimal,severe,0
rt_calibration_only,PHQ-9,mild,minimal,21
rt_calibration_only,PHQ-9,mild,mild,817
rt_calibration_only,PHQ-9,mild,moderate,104
rt_calibration_only,PHQ-9,mild,moderately_severe,0
rt_calibration_only,PHQ-9,mild,severe,0
rt_calibration_only,PHQ-9,moderate,minimal,0
rt_calibration_only,PHQ-9,moderate,mild,6
rt_calibration_only,PHQ-9,moderate,moderate,94
rt_calibration_only,PHQ-9,moderate,moderately_severe,36
rt_calibration_only,PHQ-9,moderate,severe,0
rt_calibration_only,PHQ-9,moderately_severe,minimal,0
rt_calibration_only,PHQ-9,moderately_severe,mild,0
rt_calibration_only,PHQ-9,moderately_severe,moderate,1
rt_calibration_only,PHQ-9,moderately_severe,moderately_severe,27
rt_calibration_only,PHQ-9,moderately_severe,severe,13
rt_calibration_only,PHQ-9,severe,minimal,0
rt_calibration_only,PHQ-9,severe,mild,0
rt_calibration_only,PHQ-9,severe,moderate,0
rt_calibration_only,PHQ-9,severe,moderately_severe,1
rt_calibration_only,PHQ-9,severe,severe,17
rt_calibration_only,GAD-7,minimal,minimal,3004
rt_calibration_only,GAD-7,minimal,mild,8
rt_calibration_only,GAD-7,minimal,moderate,0
rt_calibration_only,GAD-7,minimal,severe,0
rt_calibration_only,GAD-7,minimal,very_severe,0
rt_calibration_only,GAD-7,mild,minimal,108
rt_calibration_only,GAD-7,mild,mild,430
rt_calibration_only,GAD-7,mild,moderate,10
rt_calibration_only,GAD-7,mild,severe,0
rt_calibration_only,GAD-7,mild,very_severe,0
rt_calibration_only,GAD-7,moderate,minimal,0
rt_calibration_only,GAD-7,moderate,mild,2
rt_calibration_only,GAD-7,moderate,moderate,35
rt_calibration_only,GAD-7,moderate,severe,6
rt_calibration_only,GAD-7,moderate,very_severe,0
rt_calibration_only,GAD-7,severe,minimal,0
rt_calibration_only,GAD-7,severe,mild,0
rt_calibration_only,GAD-7,severe,moderate,3
rt_calibration_only,GAD-7,severe,severe,23
rt_calibration_only,GAD-7,severe,very_severe,4
rt_calibration_only,GAD-7,very_severe,minimal,0
rt_calibration_only,GAD-7,very_severe,mild,0
rt_calibration_only,GAD-7,very_severe,moderate,0
rt_calibration_only,GAD-7,very_severe,severe,1
rt_calibration_only,GAD-7,very_severe,very_severe,10
rt_calibration_only,PSS,low,low,805
rt_calibration_only,PSS,low,moderate,146
rt_calibration_only,PSS,low,high,0
rt_calibration_only,PSS,low,very_high,0
rt_calibration_only,PSS,moderate,low,200
rt_calibration_only,PSS,moderate,moderate,1034
rt_calibration_only,PSS,moderate,high,582
rt_calibration_only,PSS,moderate,very_high,453
rt_calibration_only,PSS,high,low,0
rt_calibration_only,PSS,high,moderate,29
rt_calibration_only,PSS,high,high,221
rt_calibration_only,PSS,high,very_high,149
rt_calibration_only,PSS,very_high,low,0
rt_calibration_only,PSS,very_high,moderate,0
rt_calibration_only,PSS,very_high,high,4
rt_calibration_only,PSS,very_high,very_high,21
rt_calibration_only,ISI,no_clinically_significant,no_clinically_significant,3201
rt_calibration_only,ISI,no_clinically_significant,subthreshold,99
rt_calibration_only,ISI,no_clinically_significant,clinical_moderate,0
rt_calibration_only,ISI,no_clinically_significant,clinical_severe,0
rt_calibration_only,ISI,subthreshold,no_clinically_significant,32
rt_calibration_only,ISI,subthreshold,subthreshold,241
rt_calibration_only,ISI,subthreshold,clinical_moderate,32
rt_calibration_only,ISI,subthreshold,clinical_severe,0
rt_calibration_only,ISI,clinical_moderate,no_clinically_significant,0
rt_calibration_only,ISI,clinical_moderate,subthreshold,4
rt_calibration_only,ISI,clinical_moderate,clinical_moderate,24
rt_calibration_only,ISI,clinical_moderate,clinical_severe,5
rt_calibration_only,ISI,clinical_severe,no_clinically_significant,0
rt_calibration_only,ISI,clinical_severe,subthreshold,0
rt_calibration_only,ISI,clinical_severe,clinical_moderate,0
rt_calibration_only,ISI,clinical_severe,clinical_severe,6
rt_score_adjusted,PHQ-9,minimal,minimal,2306
rt_score_adjusted,PHQ-9,minimal,mild,201
rt_score_adjusted,PHQ-9,minimal,moderate,0
rt_score_adjusted,PHQ-9,minimal,moderately_severe,0
rt_score_adjusted,PHQ-9,minimal,severe,0
rt_score_adjusted,PHQ-9,mild,minimal,23
rt_score_adjusted,PHQ-9,mild,mild,822
rt_score_adjusted,PHQ-9,mild,moderate,97
rt_score_adjusted,PHQ-9,mild,moderately_severe,0
rt_score_adjusted,PHQ-9,mild,severe,0
rt_score_adjusted,PHQ-9,moderate,minimal,0
rt_score_adjusted,PHQ-9,moderate,mild,9
rt_score_adjusted,PHQ-9,moderate,moderate,94
rt_score_adjusted,PHQ-9,moderate,moderately_severe,33
rt_score_adjusted,PHQ-9,moderate,severe,0
rt_score_adjusted,PHQ-9,moderately_severe,minimal,0
rt_score_adjusted,PHQ-9,moderately_severe,mild,0
rt_score_adjusted,PHQ-9,moderately_severe,moderate,3
rt_score_adjusted,PHQ-9,moderately_severe,moderately_severe,25
rt_score_adjusted,PHQ-9,moderately_severe,severe,13
rt_score_adjusted,PHQ-9,severe,minimal,0
rt_score_adjusted,PHQ-9,severe,mild,0
rt_score_adjusted,PHQ-9,severe,moderate,0
rt_score_adjusted,PHQ-9,severe,moderately_severe,1
rt_score_adjusted,PHQ-9,severe,severe,17
rt_score_adjusted,GAD-7,minimal,minimal,3003
rt_score_adjusted,GAD-7,minimal,mild,9
rt_score_adjusted,GAD-7,minimal,moderate,0
rt_score_adjusted,GAD-7,minimal,severe,0
rt_score_adjusted,GAD-7,minimal,very_severe,0
rt_score_adjusted,GAD-7,mild,minimal,101
rt_score_adjusted,GAD-7,mild,mild,437
rt_score_adjusted,GAD-7,mild,moderate,10
rt_score_adjusted,GAD-7,mild,severe,0
rt_score_adjusted,GAD-7,mild,very_severe,0
rt_score_adjusted,GAD-7,moderate,minimal,0
rt_score_adjusted,GAD-7,moderate,mild,3
rt_score_adjusted,GAD-7,moderate,moderate,39
rt_score_adjusted,GAD-7,moderate,severe,1
rt_score_adjusted,GAD-7,moderate,very_severe,0
rt_score_adjusted,GAD-7,severe,minimal,0
rt_score_adjusted,GAD-7,severe,mild,0
rt_score_adjusted,GAD-7,severe,moderate,6
rt_score_adjusted,GAD-7,severe,severe,20
rt_score_adjusted,GAD-7,severe,very_severe,4
rt_score_adjusted,GAD-7,very_severe,minimal,0
rt_score_adjusted,GAD-7,very_severe,mild,0
rt_score_adjusted,GAD-7,very_severe,moderate,0
rt_score_adjusted,GAD-7,very_severe,severe,4
rt_score_adjusted,GAD-7,very_severe,very_severe,7
rt_score_adjusted,PSS,low,low,807
rt_score_adjusted,PSS,low,moderate,144
rt_score_adjusted,PSS,low,high,0
rt_score_adjusted,PSS,low,very_high,0
rt_score_adjusted,PSS,moderate,low,198
rt_score_adjusted,PSS,moderate,moderate,1040
rt_score_adjusted,PSS,moderate,high,599
rt_score_adjusted,PSS,moderate,very_high,432
rt_score_adjusted,PSS,high,low,0
rt_score_adjusted,PSS,high,moderate,28
rt_score_adjusted,PSS,high,high,230
rt_score_adjusted,PSS,high,very_high,141
rt_score_adjusted,PSS,very_high,low,0
rt_score_adjusted,PSS,very_high,moderate,0
rt_score_adjusted,PSS,very_high,high,4
rt_score_adjusted,PSS,very_high,very_high,21
rt_score_adjusted,ISI,no_clinically_significant,no_clinically_significant,3202
rt_score_adjusted,ISI,no_clinically_significant,subthreshold,98
rt_score_adjusted,ISI,no_clinically_significant,clinical_moderate,0
rt_score_adjusted,ISI,no_clinically_significant,clinical_severe,0
rt_score_adjusted,ISI,subthreshold,no_clinically_significant,35
rt_score_adjusted,ISI,subthreshold,subthreshold,240
rt_score_adjusted,ISI,subthreshold,clinical_moderate,30
rt_score_adjusted,ISI,subthreshold,clinical_severe,0
rt_score_adjusted,ISI,clinical_moderate,no_clinically_significant,0
rt_score_adjusted,ISI,clinical_moderate,subthreshold,4
rt_score_adjusted,ISI,clinical_moderate,clinical_moderate,24
rt_score_adjusted,ISI,clinical_moderate,clinical_severe,5
rt_score_adjusted,ISI,clinical_severe,no_clinically_significant,0
rt_score_adjusted,ISI,clinical_severe,subthreshold,0
rt_score_adjusted,ISI,clinical_severe,clinical_moderate,1
rt_score_adjusted,ISI,clinical_severe,clinical_severe,5
