scale,macro_f1,weighted_f1,mae,quadratic_weighted_kappa,high_risk_recall,false_negative_rate,auroc,pr_auc,brier_score,ece,policy,budget,variant,split,n,avg_items_used,repeat
PHQ-9,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0034077944685450535,0.015696889696695207,fixed_order,11,responses,test,3644,11,
GAD-7,0.5499952549880079,0.8921028778321116,0.12376509330406148,0.7981018577235898,0.8928571428571429,0.1071428571428571,0.94427288058756,0.47546433930525217,0.20665919208080866,0.06809085507238172,fixed_order,11,responses,test,3644,11,
PSS,0.19186538136309825,0.4778732714740614,0.38419319429198684,0.0,0.0,1.0,0.5,0.25,0.6346550935494317,0.25769728824468063,fixed_order,11,responses,test,3644,11,
ISI,0.23761520737327188,0.8607356578834218,0.10675082327113063,0.0,0.0,1.0,0.5,0.25,0.173735966055127,0.01509822695395202,fixed_order,11,responses,test,3644,11,
PHQ-9,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0034077944685450535,0.015696889696695207,fixed_order,19,responses,test,3644,19,
GAD-7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0027375520208137404,0.010602275126678409,fixed_order,19,responses,test,3644,19,
PSS,0.4106757129905778,0.3131905158576676,0.6679473106476399,0.2938568016651518,0.25943396226415094,0.7405660377358491,0.7859937033554141,0.5042368864355409,0.902605947577584,0.454344433722658,fixed_order,19,responses,test,3644,19,
ISI,0.23761520737327188,0.8607356578834218,0.10675082327113063,0.0,0.0,1.0,0.5,0.25,0.173735966055127,0.01509822695395202,fixed_order,19,responses,test,3644,19,
PHQ-9,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0034077944685450535,0.015696889696695207,fixed_order,26,responses,test,3644,26,
GAD-7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0027375520208137404,0.010602275126678409,fixed_order,26,responses,test,3644,26,
PSS,0.7575017431260647,0.7669021087457556,0.2486278814489572,0.751115563245606,0.9268867924528302,0.07311320754716977,0.9473321481277425,0.8314954657717094,0.35225798188502955,0.0892663549892888,fixed_order,26,responses,test,3644,26,
ISI,0.23761520737327188,0.8607356578834218,0.10675082327113063,0.0,0.0,1.0,0.5,0.25,0.173735966055127,0.01509822695395202,fixed_order,26,responses,test,3644,26,
PHQ-9,0.5568408509352082,0.8161258199661166,0.20279912184412732,0.7583392429369197,0.6307692307692307,0.36923076923076925,0.8934678735616964,0.4854711055844255,0.38598636028349886,0.10253741160190293,short_forms,11,responses,test,3644,11,
GAD-7,0.5499952549880079,0.8921028778321116,0.12376509330406148,0.7981018577235898,0.8928571428571429,0.1071428571428571,0.94427288058756,0.47546433930525217,0.20665919208080866,0.06809085507238172,short_forms,11,responses,test,3644,11,
PSS,0.554997479751851,0.6278555583823934,0.39709110867178926,0.6459607923229101,0.8773584905660378,0.12264150943396224,0.8533196585741545,0.611015904423134,0.595433226697628,0.14665383909221563,short_forms,11,responses,test,3644,11,
ISI,0.719854978130375,0.9400017408704769,0.05653128430296377,0.7332197782048036,0.5384615384615384,0.46153846153846156,0.9672312683286055,0.7220919750730771,0.08469220530242833,0.01727021725887858,short_forms,11,responses,test,3644,11,
PHQ-9,0.7309501743192715,0.8596083127196879,0.15010976948408342,0.8475249894671678,0.9333333333333333,0.06666666666666665,0.957401392636165,0.684565710795019,0.23877131232526116,0.09324168937597566,short_forms,19,responses,test,3644,19,
GAD-7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0027375520208137404,0.010602275126678409,short_forms,19,responses,test,3644,19,
PSS,0.554997479751851,0.6278555583823934,0.39709110867178926,0.6459607923229101,0.8773584905660378,0.12264150943396224,0.8533196585741545,0.611015904423134,0.595433226697628,0.14665383909221563,short_forms,19,responses,test,3644,19,
ISI,0.719854978130375,0.9400017408704769,0.05653128430296377,0.7332197782048036,0.5384615384615384,0.46153846153846156,0.9672312683286055,0.7220919750730771,0.08469220530242833,0.01727021725887858,short_forms,19,responses,test,3644,19,
PHQ-9,0.7578764760902628,0.8960654320675845,0.11086717892425905,0.8893057639387759,1.0,0.0,0.9786662213046341,0.7967621615123709,0.16157819526422715,0.04888644700291367,short_forms,26,responses,test,3644,26,
GAD-7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0027375520208137404,0.010602275126678409,short_forms,26,responses,test,3644,26,
PSS,0.5059371136684472,0.678787055414977,0.47008781558726676,0.5539364908258622,0.9410377358490566,0.05896226415094341,0.8578166862405616,0.5987622189932902,0.5816176225948894,0.17544675546502841,short_forms,26,responses,test,3644,26,
ISI,0.8267773772537521,0.9586905242644985,0.03896816684961581,0.825761837055494,0.717948717948718,0.28205128205128205,0.9872588667852022,0.8181993299295187,0.06062426166275605,0.011718572200059365,short_forms,26,responses,test,3644,26,
PHQ-9,0.6716305726419252,0.8926722985027344,0.11141602634467618,0.8840178219891346,0.8615384615384616,0.1384615384615384,0.9592169531953291,0.6428984863442765,0.23198212944908822,0.1226611784093497,train_selected_fixed,11,responses,test,3644,11,
GAD-7,0.8891951055744389,0.9524373996176232,0.04473106476399561,0.9145598589624604,0.9285714285714286,0.0714285714285714,0.9988512654721358,0.937264985765142,0.027916466393813327,0.014670288105042197,train_selected_fixed,11,responses,test,3644,11,
PSS,0.19186538136309825,0.4778732714740614,0.38419319429198684,0.0,0.0,1.0,0.5,0.25,0.6346550935494317,0.25769728824468063,train_selected_fixed,11,responses,test,3644,11,
ISI,0.7054263296687382,0.924089010870681,0.06668496158068057,0.6507390670553935,0.5641025641025641,0.4358974358974359,0.9130075159085779,0.6320366865178288,0.10420294797763413,0.018797082052897734,train_selected_fixed,11,responses,test,3644,11,
PHQ-9,0.7578764760902628,0.8960654320675845,0.11086717892425905,0.8893057639387759,1.0,0.0,0.9786662213046341,0.7967621615123709,0.16157819526422715,0.04888644700291367,train_selected_fixed,19,responses,test,3644,19,
GAD-7,0.8891951055744389,0.9524373996176232,0.04473106476399561,0.9145598589624604,0.9285714285714286,0.0714285714285714,0.9988512654721358,0.937264985765142,0.027916466393813327,0.014670288105042197,train_selected_fixed,19,responses,test,3644,19,
PSS,0.43998466002126024,0.5810924114017707,0.5705268935236004,0.5036260072958101,0.8726415094339622,0.12735849056603776,0.8105960250022352,0.4684499991329555,0.72862820215848,0.23952872208918882,train_selected_fixed,19,responses,test,3644,19,
ISI,0.7368621913974894,0.9541788700883996,0.043907793633369926,0.8225996766241361,0.8205128205128205,0.17948717948717952,0.9833658041033199,0.7208066714295636,0.07678121790454703,0.02321549672310027,train_selected_fixed,19,responses,test,3644,19,
PHQ-9,0.8926199330611926,0.9792918012217043,0.021405049396267837,0.9765880871655385,1.0,0.0,0.9970465823213754,0.9423749124737059,0.07345168691763668,0.04377597985748443,train_selected_fixed,26,responses,test,3644,26,
GAD-7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0027375520208137404,0.010602275126678409,train_selected_fixed,26,responses,test,3644,26,
PSS,0.46563384481019915,0.6321156613097716,0.5513172338090011,0.514922388486313,0.9433962264150944,0.05660377358490565,0.8049141693880918,0.4835845432625201,0.702180204979436,0.25156514408917174,train_selected_fixed,26,responses,test,3644,26,
ISI,0.7377774210724952,0.9548650656626253,0.048298572996706916,0.8345693138747435,0.8974358974358975,0.10256410256410253,0.9843071122632941,0.7136616131147979,0.09447708695872312,0.03990668056190153,train_selected_fixed,26,responses,test,3644,26,
GAD-7,0.5812566307062401,0.8949299531941536,0.1129967069154775,0.776248467277569,0.755952380952381,0.24404761904761904,0.9380484909401352,0.5254785089365193,0.16786908633772277,0.030819655733592747,random_repeated_mean,11,responses,test,3644,11,24.5
ISI,0.61612090987721,0.9301691577153305,0.06965971459934138,0.6878582084278594,0.6102564102564103,0.3897435897435897,0.9295731778164391,0.5055027086229754,0.12337995990420916,0.04632393801704045,random_repeated_mean,11,responses,test,3644,11,24.5
PHQ-9,0.5715789093268858,0.8135841408941282,0.1922667398463227,0.7559609028419749,0.6447179487179487,0.3552820512820513,0.9067426502227659,0.5075134431064471,0.2906452491376441,0.04397203983026704,random_repeated_mean,11,responses,test,3644,11,24.5
PSS,0.54225008188105,0.6704096672434406,0.3557574094401756,0.5951982699943049,0.6252358490566038,0.3747641509433962,0.8624838032769162,0.5027428995991626,0.494767286250299,0.1146090590586799,random_repeated_mean,11,responses,test,3644,11,24.5
GAD-7,0.7269529020302364,0.9324376320992637,0.06845225027442371,0.871801577661643,0.8416666666666667,0.15833333333333333,0.9804683674840606,0.7006630316506178,0.10526614834623355,0.010892096139581144,random_repeated_mean,19,responses,test,3644,19,24.5
ISI,0.7423088652822984,0.9523641342232508,0.04773874862788145,0.8063336814929091,0.742051282051282,0.25794871794871793,0.9777875150943198,0.6857066730512273,0.08976257152692677,0.026590200607703406,random_repeated_mean,19,responses,test,3644,19,24.5
PHQ-9,0.7092230699204113,0.8751061828594361,0.1254774972557629,0.852851833675576,0.7872820512820513,0.21271794871794872,0.965319820467952,0.6934194931498218,0.1948795701548479,0.03275987906695439,random_repeated_mean,19,responses,test,3644,19,24.5
PSS,0.6877598525851476,0.7769692713150098,0.23339187705817782,0.7239454375981069,0.7181132075471698,0.2818867924528302,0.9250884267267873,0.6971893093110161,0.3374160602066014,0.02848732243122054,random_repeated_mean,19,responses,test,3644,19,24.5
GAD-7,0.8324702650036653,0.9555094863822449,0.0438364434687157,0.9191523530964142,0.8711904761904762,0.12880952380952382,0.9933816886975916,0.8332136535589132,0.06731846680163563,0.012779822106196524,random_repeated_mean,26,responses,test,3644,26,24.5
ISI,0.8217682963190935,0.968572943242777,0.03147639956092207,0.8734348257639613,0.8102564102564103,0.18974358974358974,0.9906396882639248,0.8207355799918125,0.05908133448658871,0.02018671729615505,random_repeated_mean,26,responses,test,3644,26,24.5
PHQ-9,0.8084719568670315,0.9176509858954279,0.08159714599341383,0.9064848185994502,0.8707692307692309,0.12923076923076923,0.9855288537333335,0.8316772012534378,0.1278029612414783,0.02385160806619078,random_repeated_mean,26,responses,test,3644,26,24.5
PSS,0.7912437768089495,0.8415257149419169,0.16420965971459936,0.8005414363504829,0.772877358490566,0.22712264150943395,0.9553742317298847,0.8263188338473496,0.24965031250931008,0.03297585655740827,random_repeated_mean,26,responses,test,3644,26,24.5
